"","x"
"883","asalamualaikum telkomsel yang terhormat tolong lah perbaiki lagi sinyal nya dan turunin dikit harga kuotanya harga sama kuota nya enggak sebanding menurut saya sekian terimakasih"
"884","okhh"
"885","aplikasinya sangat membantu "
"886","ok"
"887","ok"
"888","sangat terjangkau"
"889","wah saya kena tipu aplikasi nya jelek sekali"
"890","mantap"
"891","ok"
"892","bagus"
"893","bagus"
"894","bagus"
"895","keren banget sih mudah dan cepat di proses"
"896","ok"
"897","keren lah"
"898","good service"
"899","bagus"
"900","bagus lumayan perbanyak perfeknya dan perbarui semakin bagus semakin baik lag dan kemacetan di mohon di kurangi khusunya yang mempunyai data sedikit "
"901","sangat bagus"
"902","bagus"
"903","baik aplikasi ini"
"904","sangat puas"
"905","bagus"
"906","siiip"
"907","sangat membantu sekali"
"908","apk nya mantap betull"
"909","bagus sekali aplikasi nya"
"910","hemmm min kasih lah promo kuota ekstra unlimited woke sudah ku kasih bintang itu "
"911","mantap"
"912",""""""
"913","mantapppp"
"914","sangat baik"
"915","bagus"
"916","mantap"
"917","tolong jaringanya di perbaiki khusus di sulawesi selatan kota parepare semakin hari semakin jelek gah bisa terhubung ke game freefire"
"918","mantap"
"919","keren"
"920","by"
"921","keren"
"922","sangat bagus"
"923","aplikasi yang sangat memuaskan menurut saya pribadi"
"924","good"
"925","mantap apk nya"
"926","lumayan lah"
"927","awal nya saya kasih bintang sekarang sudah bintang karena menurut saya sudah lebih banyak perbaikan pada applikasinya mantap maju terus telkomsel"
"928","kasih aku diskon ya"
"929","mantap"
"930","ok"
"931","efektif bagus akurat"
"932","baik"
"933","kepada developer aplikasi ini sangat membantu tapi mohon di paket combo nya di tambah banyak lagi dan di kasih turun harga "
"934","top"
"935","sangat baik"
"936","sangat membantu"
"937","sangat top "
"938","tambah sip"
"939","ok"
"940","sangat baik"
"941","mantap lah"
"942","baik"
"943","bagus"
"944","sangat puas"
"945","ok"
"946","sangat baik"
"947","oke lah"
"948","mtp"
"949","nah begitu dong"
"950","sangat puas"
"951","aluss pokonamah euy"
"952","good"
"953","semakin hari harga paket data nya semakin naik tolong min saya sudah pakai aplikasi ini sudah lama jadi kasih promo juga"
"954","kalo beli kuota sering tidak memenuhi apa yang kita inginkan duiiiit mulu duiiiiiit mulu apes gue apes juga luuuu"
"955","bagus"
"956","bagus banget aplikasinya sangat membantu"
"957","sangat puas"
"958","mantap"
"959","mantap"
"960",""""""
"961","mantap"
"962","ok"
"963","aplikasi yang sangat keren lanjut kan terus perkembangan apk ini agar tidak banyak para pelanggan yang kecewa dan memberi ranting "
"964","good"
"965","keren banget"
"966","semakin luas jaringannya"
"967","telkomsel kenapa kuota gb saya tiba hilang tolong di jelas kan"
"968","jos"
"969","jaringan di perluas"
"970","mantap"
"971","semoga dapat motor"
"972","mantap aplikasinya"
"973","sangat membantu"
"974","sip"
"975","sangat memuaskan"
"976","semakin hari semakin mahal ini telkomsel"
"977","memuaskan"
"978","memudahkan dan memuaskan"
"979","top"
"980","ok telkomsel"
"981","sudah mulai lelet"
"982","sangat puas"
"983","layanan jaringan bagus enggak lelet"
"984","mantap"
"985","terima kasih telkomsel semoga sukses selalu buat rekanrekan itu manegement pttelkomseljakartasemua sejawatimur"
"986","sangat memudahkan"
"987","ok"
"988","saya sangat menyukai aplikasi mytelkomsel karena sangat mudah untuk pembelian paket lainnya seperti pulsa paket internet sangat di permudahkan sekali pembayarannya bisa di sambungkan ke akun dana gopay ovo di sopipay juga bisa trimakasih mytelkomsel sukses selalu "
"989","mantap banget tapi kadang akun ku suka keluar sendiri mana lupa pwnya kan wkwk sejauh ini bagus terus sering kasih kuota gratis juga thankyouuu"
"990","bagus"
"991","telkomsel hebat"
"992","gampang banget transaksi nya"
"993","oke"
"994","aplikasinya sangat bagus terbantu"
"995","aplikasi mantap lah"
"996","bagus"
"997","semoga tambah mnntaapppberkahhhh"
"998","bagus sekali"
"999","sayang di tempat kami siyal kadang masih sering gangguan padahal simcar sudah enggak"
"1000","paketan murah"
"1001","quick respons"
"1002","ok"
"1003","oke punya"
"1004","oke"
"1005","moga jadi aplikasi yang berguna bagi telkom dan banyak kasih gratisan ya "
"1006","bagus banget kartu nya sama apk nya kuota nya pada murah murah good job friend"
"1007","aplikasi ini sangat membantu"
"1008","lumayan bagus ya my telkomsel nya pertahan kan terus"
"1009","sangat membantu "
"1010","mantap"
"1011",""""""
"1012","biar bintang yang bicara kalo ada bintang tujuh takkasih juga telkomsel mantap"
"1013","bagus"
"1014","mudahan lancar terus"
"1015","apk nya bagus banget"
"1016","aplikasi ini bagus "
"1017","cepat mudah dan banyak pilihan paketnya"
"1018","bagus"
"1019","selalu tingkatkan kualitas jaringan jangan lupa untuk menyederhanakan harganya"
"1020","nice"
"1021","sejauh ini "
"1022","ok"
"1023","biasa saja"
"1024","kenapa ya di hp saya aplikasi my telkomsel terdeteksi aplikasi rusaksudah di uninstal berulang tapi tetap saja terdeteksi aplikasi rusakmohon pejelasan"
"1025","mudah dan cepat"
"1026","layanan prima terimakasih"
"1027","terbaik"
"1028","aplikasi yang sangat bagus bisa beli paket gb bulan harganya ribu tunggu apa lagi download dan beli paket di mytelkomsel"
"1029","baik"
"1030","okelah"
"1031","nice"
"1032","ok"
"1033","saya merasa puas "
"1034","good"
"1035","aku selalu dapat bonus terima kasih"
"1036","memuaskan"
"1037","fandu"
"1038","sangat bagus"
"1039","sangat puas"
"1040","very good"
"1041","jos"
"1042","good"
"1043","respon cepatmudah digunakanmemuaskan app nyaharga data terjngkau"
"1044","mahal pketnyaaa"
"1045","bagus banget"
"1046","sangat membantu"
"1047","sangat puas"
"1048","sangat bagus bisa memberi paket data gratis bagus untuk golongan sedang ke bawah kalo bisa tambah lagi"
"1049","good"
"1050","suka banget pakai my telkomsel enggak ribet lagi harus ketik panjang kali lebar "
"1051","mantul"
"1052","bagus se"
"1053","goodaplication my fill inmy activity provider"
"1054","semuanya bagus cuman harga kuota saja yang mahaldibanding provider tetangga"
"1055","sangat puas"
"1056","mantap"
"1057","keren"
"1058","good"
"1059","apk ini bagus sekali bisa beli paket murah"
"1060","saya sangat suka dengan pelayanan apk ini"
"1061",""""""
"1062","apk bagus wajib download karena gratis gb terimakasih banyak kalo bulan depan tidak diberi lagi saya uninstall"
"1063","mantap"
"1064","membantu sekali"
"1065","bagus bagus"
"1066","sinyal bagus di wilayah manapun"
"1067","aplikasinya sangat bagus"
"1068","suka banget sama telkomsel"
"1069","mantap bosss rekom segera download mytelkomsel murahhhhhhh banget loh"
"1070","no provider"
"1071","cok"
"1072","terima kasih kouta gratisnya"
"1073","its verry goodsaya sangat suka"
"1074","sangat membantu mantap jiwa"
"1075","greattt"
"1076","woy telkontol kasih pengaturan pengendalian pulsa kenapa pulsa gua ke sedot terus asu"
"1077","keren"
"1078","mantap"
"1079","kuota darurat nya terlalu mahal"
"1080","bagus"
"1081","yyyuyuuuuuu"
"1082","bagus"
"1083","good"
"1084","bagus"
"1085","dulu sebelum saya mebggunakan aplikasu my telkomselsaya selalu kesylitan mmendapat kan pajet internet dan pelian nya sangat mahal"
"1086","sangat puas"
"1087","apk ya sangat bagus"
"1088","mantap pokok nya"
"1089","mudah penggunaannya"
"1090","mantap"
"1091","efektif"
"1092","bagus"
"1093","mantap"
"1094","oke"
"1095","mantap"
"1096","paket kurang murah"
"1097","semoga amanah"
"1098","jaringan nya bagus bgttpi tolong dong harga nya kurangi dikit"
"1099","akhirnya puas pakai my telkomsel"
"1100","mantap"
"1101","jos"
"1102",""""""
"1103","baik"
"1104","promonya lumayan cuma sinyalnya tidak stabil kadang hilang sendirinya ada semua area"
"1105","bagus"
"1106","aplikasi yang bagus"
"1107","cukup puas pakai telkomsel oke"
"1108",""""""
"1109","mantul"
"1110","aplikasi bagus"
"1111","my telkomsel mantap banyak bunus promo paket nya"
"1112","banyak pilihan dan banyak promo yang ditawarkan cepat dan enggak lama sejauh ini sih suka semoga lebih berkembang lagi kedepannya"
"1113","meminta dong paket sms gratis"
"1114","mantap"
"1115","sip banget telkomsel mah"
"1116","sangat membantu"
"1117","telkomsel ok"
"1118","nice"
"1119","bagus"
"1120","baik"
"1121","ok"
"1122","useful"
"1123","keren"
"1124","sangat membantu"
"1125","ok saja"
"1126","oke banget"
"1127","mantap"
"1128","susah di buka nya aplikasi my telkomsel"
"1129","technology canggih"
"1130","mantap banget"
"1131","ok"
"1132","pernah mengasih bintang haha my telkomsel ku diblokir"
"1133",""""""
"1134","luar biasa"
"1135","mantap"
"1136","good"
"1137","ok"
"1138","sangat bagus"
"1139","oke kabeh pokoke"
"1140","mempermudah"
"1141","sangat mudah dan memuaskan"
"1142","buat pengguna lama sangat bagus"
"1143","ok"
"1144","good job"
"1145","puassss"
"1146","telkomsel lancar jaya walaupun lebih mahal dari pada provider lain"
"1147","aplikasi mantap"
"1148","bagus"
"1149","oke banget jaringannya banyak paket murah didalamnya"
"1150","sangat baik"
"1151","berguna banget"
"1152","sangat membantu"
"1153","baru dicoba semoga bagus dan bermangaat"
"1154","mantab"
"1155","terima kasih"
"1156","baik"
"1157","good"
"1158","promo enggak"
"1159","mantab"
"1160","my telkomsel is the best "
"1161","sangat bagus sekali untuk saya"
"1162","good"
"1163","terima kasih"
"1164","lancar jaya"
"1165","sangat memuaskan"
"1166","banyak pilihan fitur harga terjangkau"
"1167","ok"
"1168","luar biasa"
"1169","menarik sekli"
"1170","mantap"
"1171","membantu"
"1172","sangat berfungsi dan murah"
"1173","luar biasa"
"1174","keren"
"1175","cukup membantu"
"1176","bagus"
"1177","mantap"
"1178","sangat baik"
"1179","sangat memudahkan"
"1180","keren aplikasinya"
"1181","great"
"1182","setelah aku registrasi ulang jadi lancar buat internetan "
"1183","bagaimana cara tukar voin"
"1184","tukar poin jadi saldo linkaja kok ada min"
"1185","bagus"
"1186","terbaik"
"1187","bagus"
"1188","bagus sekali"
"1189","good"
"1190","terimakasih banyak telkomsel karena tidak menguras sisa pulsa saya sesuai janji saya saya kasih bintang tapi bila pulsa saya terkuras lagi saya akan menurunkan bintang nya"
"1191","mudah mudahan menang undian amin"
"1192","ok"
"1193","bagus"
"1194","sangat memuaskan"
"1195","mudah mudahan benar"
"1196","telkomsel jozz"
"1197",""""""
"1198","good"
"1199","ok"
"1200","mantap my tolkem"
"1201","good"
"1202","sangat bagus"
"1203","sangat baik"
"1204","terus tingkatkan lagi"
"1205","sangat membantu"
"1206","cukup membantu"
"1207","good aps"
"1208","ok"
"1209","top"
"1210","bagus"
"1211","sangat bagus"
"1212","luar biasa telkomselsayang saya enggak pernah dapat hadiahnya wkwkwkw tapi tetap okmantap"
"1213","ok mantap"
"1214","telkom jaringan enggak nya lemah banget di kampung khusus nya banten bagian perkampungan tingkatkan dong kualitas nya tankssss"
"1215","jos follow ig ku saktiromadlon"
"1216","ini saya kasih bintang tolong buat telkomsel segera di tanganin masalah sinyal yang hilang timbul enggak jelas sudah berbulanbulan begini terus di tambah gara gara mendung sinyal jadi lelet kan aneh padahal rumah saya dekat dari kota"
"1217","harga bangka belitung turunin mingila pengeluaran telkom ku sampai juta"
"1218","bagaimana cara meminjam pulsa darurat"
"1219","ada harga ada rupa ya"
"1220","mantap"
"1221","sinyal cepat"
"1222","aplikasi mytelkomsel oke lah"
"1223","semoga dapat"
"1224",""""""
"1225","aplikasinya terlalu berat mohon perbaiki"
"1226","bagus tapih kurang mengerti"
"1227","good"
"1228","bagus"
"1229","mnttap"
"1230","keren"
"1231","ok"
"1232","mahal doang bikin apk buat pelanggan saja lelet loading mulu udahlh pilihan paket internet nyekek leher hadeh"
"1233","di perbaiki jaringan nya jangan keseringan lemot"
"1234","mantap"
"1235","josssssss baaaangeeeet"
"1236",""""""
"1237","sangat baik"
"1238",""""""
"1239","baik"
"1240","sangat puas"
"1241","layanan cepat mantap"
"1242","sangat puas"
"1243","jozz"
"1244","bagus"
"1245","mantap"
"1246","my telkomsel mantap"
"1247","sangat baik untuk pelayanan"
"1248","bagus"
"1249","telkomsel braxo terus maju"
"1250","sangat baik"
"1251","saya sangat puas menggunakn telkomsel karena bayak undian yang di sediakan oleh telkomsel"
"1252","mantap"
"1253","saya suka"
"1254","sangat membantu"
"1255","wah hebat banget my telkomsel kalo pendatang baru dapat paket gb kalo beli paket murah murah banget"
"1256","sinyal benerin deh itu doang"
"1257","top"
"1258","bintang berbicara"
"1259","mantap"
"1260","bagus"
"1261","mantap"
"1262","best"
"1263","oke"
"1264","sangat membantu"
"1265","mau telkomsel memang terbaik"
"1266","apri"
"1267","makin mantap saja"
"1268","hbd telkomsel"
"1269","supaya lebih murah"
"1270","bagus"
"1271","telkomsel terbaik"
"1272","bintanglah yang mewakili komens saya"
"1273","oke"
"1274","terbaik"
"1275","informasikan bila ada paket internet murah"
"1276","good"
"1277","assalamualaik saya mau tanya my telkomsel ada enggak lowongan kerja "
"1278","bagus banget"
"1279","semoga makin lebih baik"
"1280","dedi parmadi"
"1281","good job"
"1282",""""""
"1283","mantap"
"1284","puas banget"
"1285","saya suka menggunakan aplikasi ini dapat digunakan untuk melakukan hal yang harus kita lakukan"
"1286","good dog"
"1287","bagus"
"1288","sesat anjai"
"1289","bagus"
"1290","banyak klaim pkt grtis cuma chek ini setiap hari"
"1291","mantap my telkomsel"
"1292","semoga dapat promo kuota murah"
"1293","puas"
"1294","ok"
"1295","ok"
"1296","masih lemot kalo pakai game mobile legend atau nelpon wa selalu menghubungkan"
"1297","masyaallah sangat memudahkan"
"1298","ok sangat bagus"
"1299","mantap"
"1300","bagus juga aplikasinya"
"1301","mantappppp"
"1302","terimakasih"
"1303","tolong dibuat mudah untuk lansia"
"1304","aplikasih nya bagus"
"1305","alpikasinya ok cuma agak erroh saja sistemnya sibuk pas saya coba kok enggak bisa bisa saya kasih bintang tolong diperbaikinya"
"1306","baik"
"1307","ok"
"1308","ok"
"1309","biarkan bintang yang menjawab"
"1310","ok"
"1311","telkomsel ok banget"
"1312","mantab"
"1313","sangat membantu"
"1314","mantap dapat geratisan ges "
"1315","tolong buat telkomsel tingkatkan lagi dong kualitas jaringannya overall sudah bagus tapi di jaringannya harus lebih bagus lagi"
"1316","turunin harga paketnya telkomsel sesekali"
"1317",""""""
"1318","lebih cepat buka aplikasi apa pun"
"1319","tingkatkan lagi signal jaringan"
"1320","woi pihak telkomsel jaringan lu benerin ajing sudah mahal jaringan kayak taiii babi ngana"
"1321","nnn"
"1322","telkomsel mantap"
"1323","cepat proses"
"1324","paket makin gila harga nya"
"1325","terima kasih"
"1326","telkomsel keren"
"1327","terima kasih kouta gratis nya"
"1328","sangat baik"
"1329","lebih murah lagi dong kuotanya"
"1330","bagus aplikasinya dan lengkap informasinya"
"1331","ok banget"
"1332","apk nya bagus"
"1333","mantap app nya"
"1334","baik"
"1335","sip"
"1336","dengan aplikasi ini mudah beli kuota simpati sekaligus cek pulsa dan data"
"1337","mantap"
"1338",""""""
"1339","nice"
"1340","tanya pakde jokowi saja banh"
"1341","sangat membantu dalam pembelian kuota internet"
"1342","bagus"
"1343","mantap lah perbanyak lagi bonus nya min"
"1344","sangat membantu"
"1345","jaringan poll"
"1346","mantap bos"
"1347","tolong lah kepada pihak telkomselkenapa diperbhrui malah semakin sulit jaringanya dan susah untuk logon ke aplikasi initolong kebijakanya dong kalo sudah benar saya kasih bintang limadah tolong tanggung jawab lah atas ketidak nyamanan ini sudah minggu ini saya enggak bisa masuk ke aplikasi padahal sinyal full tank dan mengapa jaringan saya kadang menghilang kakak di wilayah tengeng kulon dan sangat lemot kakak ooe trimakasihh kakak"
"1348","sukaaaaaaaaaaahhhhhhh"
"1349","sangat bagus"
"1350","bagus aplikasi yhh"
"1351","semangat terus telkomsel"
"1352","mantap"
"1353","baik"
"1354","puas"
"1355","saya senang dengan aplikasi my telkomselkarena ada udian berhadiah hanya dengan tukar koin pulsa"
"1356","caramati"
"1357","jaringan kadang suka down"
"1358","good"
"1359","i like"
"1360","puas"
"1361","gege"
"1362","oke banget"
"1363","sangat murah"
"1364","puaassss"
"1365","mytelkomsel muantaaaap"
"1366","good"
"1367","sudah kirim poin dari dulu sampai sekarang tapi belum satu pun dapat hadiah"
"1368","saya kasih bintang deh semoga kedepannya pelayanannya makin bagus lagi"
"1369","alhmdllh sangat membantu"
"1370","baik"
"1371","trimakasih telkomsel gratisan nya alhamdulillah semoga lancar perusahaan nya dasar mah lagi enggak punya paket lagi sekarat banget sekali lagi trimakasih banyak telkomsel"
"1372","mempermudahn kebutuhan"
"1373","toopp"
"1374","saya selalu memilih telkomsel karena sinyal stabil"
"1375","puas"
"1376","apk yang berguna"
"1377","mantap"
"1378","sering dapat kuota gratis ya"
"1379","bagus"
"1380","hebat pulsa bisa hilang sendiri"
"1381","sangat membantu banyak promo"
"1382","bagus"
"1383","sangat bagus"
"1384","sangat memuaskan mungkin bisa lebih banyak lagi promo murah nya"
"1385","bagus sekali aplikasi ini"
"1386","telkomsel makin parah paket mahal sinyal di tempat gue enggak bisa dipakai mau mengapai susah sudah seminggu lebih tetap lemottelkomsel sialan"
"1387","nice pokok nya the best my telkomsel"
"1388","sangat membantu"
"1389","bagus"
"1390","bagus"
"1391","ok"
"1392","mantap"
"1393","hebat"
"1394","bagus"
"1395","bagus"
"1396",""""""
"1397","you are the best"
"1398","mantaps"
"1399","terima kasih telkomsel"
"1400","mengapa saat saya isi pulsa dan data seluler saya hidup pulsa saya kepotong karena data seluler hidup"
"1401","sangat ok"
"1402","wow lambreta"
"1403","baik"
"1404","top"
"1405","keren"
"1406","ok"
"1407","mantap"
"1408","alhamdulillah aku dapat brio"
"1409","biar bintang yang bicara"
"1410","mantap"
"1411","good job"
"1412","good aplikasi tapi tolong harga kuota internet jangan dinaikin lagi yang unlimited gb cukup dengan ribu saja"
"1413",""""""
"1414","mantap"
"1415","keren"
"1416","bagus apknya"
"1417","bagus my telkom bisa bantu lihat paket dan pulsa"
"1418","mempercepat jaringan sosial media my telkomsel mantap"
"1419",""""""
"1420","my telkomsel is the best"
"1421","kerendpt kuota gratis gb"
"1422","aplikasi my telkomsel is the best forever"
"1423","joooozzzzz"
"1424","bagus"
"1425","bagus sekali aplikasi ini sangat membantu"
"1426","jadi malas pakai mytelkomsel biasanya klik langsungkok sekarang jadi ribet"
"1427","apk nya bagus"
"1428","mantap"
"1429","jaringan nya agak buruk mohon di perbaikan lebih baik dan tarif qouta kasih diskon dong bang jangan saja diskon nya"
"1430","sangat puas"
"1431","lebih baik"
"1432","semua jadi mudah"
"1433","bagus banget gua enggak bisa berkata kata lagi"
"1434","mantap"
"1435","sangat bermanfaat"
"1436",""""""
"1437","mantap"
"1438","aplikasi bagus sangat membantu kualitas sinyal mantap my telkomsel the beast saran cuman satu semoga harga paket nya lebih di permurah agar lebih banyak"
"1439","mantap"
"1440","sangat baik"
"1441","mantap"
"1442","biar bintang yang menilai"
"1443","aplikasi ini semakin lama dengan update nya semakin bagus"
"1444","mantap"
"1445","membantu sekali"
"1446","sangat bisa di andalkan saya sangat menyarankan menggunakan apk my telkomsel"
"1447","sangat bermanfaat karena sekarang bisa beli pakai gopay dana bisa"
"1448","rtop"
"1449","lumayan"
"1450","bagus"
"1451","sangat puas"
"1452","bagus"
"1453","lancar"
"1454","sangat baik sekali"
"1455","update terus sampai kiamat"
"1456","ok"
"1457","mantap"
"1458","nice"
"1459","nice"
"1460","mantap"
"1461","waow hadiahnya"
"1462","bagus sekali"
"1463","lumayan brguna"
"1464","bagus enggak perlu repot keluar"
"1465","mantap jiwa"
"1466","bagus"
"1467","besr"
"1468","sangat membantu"
"1469","pelayanannya bagus"
"1470","good"
"1471","sangat bsgus"
"1472","sangat terbantu"
"1473",""""""
"1474","ok"
"1475","bagus"
"1476",""""""
"1477","tolong kasih saya paket dengan harga murah murah"
"1478","great tambahkan promo nya dong biar pro"
"1479","oke"
"1480","my telkomsel sangat bagus"
"1481","my telkomsel easier my activity"
"1482","bagus"
"1483","sangat bermanfaat"
"1484","puasss banget"
"1485","memuaskan"
"1486","good"
"1487"," stars for you"
"1488","luar biyasa"
"1489","sering bagi kuota min"
"1490","bagus"
"1491","mantul"
"1492","lumayan"
"1493","baik"
"1494","mantap"
"1495","sangat murah paket nya dan pilihan paket yang beragam jenis"
"1496","bagus"
"1497","great"
"1498","bagus"
"1499","dicoba"
"1500","nice"
"1501","terimah masih banyak"
"1502","good"
"1503","mantap buaaaaaangettttttt"
"1504","josss"
"1505","sangat memfasilitasi"
"1506","puas"
"1507","membantu"
"1508","mantap"
"1509","baik"
"1510","menjangkau di segala penjuru"
"1511","baguus"
"1512","okey"
"1513","bagus"
"1514","mantap"
"1515","mantap banget dengan fitur terbaru ditelkomseludh itu banyak promo menarik dan banyak cashbacknya jugasuka banget"
"1516","good"
"1517","sangat baik"
"1518","sangat membantu"
"1519","oke"
"1520","siiiip"
"1521","ok"
"1522","sangat bagus"
"1523","mantap"
"1524","keren"
"1525","mempermudah"
"1526","ok"
"1527",""""""
"1528","ok"
"1529","oky nice"
"1530","aplikasinya bagus wajib download"
"1531","mantanp"
"1532","paket murah meriah "
"1533","di"
"1534","jaringan enggak"
"1535","good"
"1536","tingkatkan lagi kwalitas sama kuantitas"
"1537","enggak"
"1538","sangat bagus"
"1539","bagus"
"1540","sangat memuaskan"
"1541","banyak yang bilang paketnya mahal kalau untuk kita yang dikmpung sudah lumayan murah daripada enggak sudah jaringan terima kasih banget sama telkomsel mau menjagkau sampai ke kampung plosok"
"1542","mantap"
"1543","mantap"
"1544","sangat membantu dalam pilih paketnya"
"1545","baik dan bagus"
"1546","bagus"
"1547",""""""
"1548","sangat baik"
"1549","bagus"
"1550","is the best"
"1551","bagus"
"1552","mantap"
"1553","alhamdulillah banyak promo"
"1554","sangat memuaskan"
"1555","mantap apps ok dan beli paket nya murah"
"1556","sangat bagus"
"1557","telkomsel jaringan terbaik"
"1558","banyak gratis nya "
"1559","aku suka tentang aplisi ini"
"1560","apk ini sangat berguna"
"1561","aplikasi yang bagus"
"1562","ok"
"1563","mantap"
"1564","terima kasih kuota gratis nya admin cantik dan ganteng "
"1565","baik banget banyak promo"
"1566","sangat membantu"
"1567","mantap sekali saya dpet kuota gb cuma"
"1568","ok"
"1569","paketnya murah"
"1570","ok"
"1571","good"
"1572","terimakasih mytelkomsen"
"1573","best aplication"
"1574","good job"
"1575","sangat membantu sangat baik"
"1576","muantap jaringan luass"
"1577","saya pemakai telcom sell setia"
"1578","oke"
"1579","terimakasih telkomsel"
"1580","sangat baik"
"1581","mantap"
"1582","ok"
"1583","telkomsel ok"
"1584","lumayan"
"1585","good job"
"1586","mantap"
"1587","banyak keuntungan my tekomsel"
"1588","sangat bagus untuk impormasi yang tidak aku tau tentang mytelkomsel"
"1589","tolong harga paket internet saya di murahkan harganya"
"1590",""""""
"1591","enggak"
"1592","ok"
"1593","sangat memuaskan"
"1594","trismaksush indosat"
"1595","bagus"
"1596","ok"
"1597","aplikasi nya sangat membantu aku tapi sayang sekali harga paket atau pulsa nya tidak sesuai yang diharapkan namun sekali lagi aplikasi ini sangat membantu aku"
"1598","rancak"
"1599","kiyak"
"1600","mantap"
"1601","biar akun saya hilang sayang tetap semangat hayuuk"
"1602","mantab"
"1603","mantap dan sangat puas"
"1604","puasss terima kasih telkomsel"
"1605","keren"
"1606","bagus"
"1607",""""""
"1608","sangat bagus sekali payananana dan sangat murah"
"1609","mantap"
"1610","sugoii"
"1611","fungsi"
"1612","mantap"
"1613","paket data nomer saya ini kok mahal ya tidak sama dengan nomer telkomsel yang lain nya"
"1614","ok"
"1615","good"
"1616","xl sisa kuota lokal xtra combo lite anda kurang dari mbak tetap nikmati aplikasi favoritmu dengan xtra unlimited turbo tanpa batas kuota dan kecepatan"
"1617","sangat puas"
"1618","sangat cocok untuk sekarang ini"
"1619",""""""
"1620","informasinya lengkap"
"1621","saya suka saya suka"
"1622","tingkatkan lagi promonya"
"1623","mantap "
"1624","mantap my telkomsel"
"1625","good"
"1626","sinyal lebih kuat dari pada yang lain kuota data terjangkau ok banget terima kasih telkomsel sukses selalu"
"1627","nc"
"1628","bagus"
"1629","mantap"
"1630","cepat terpercaya"
"1631","oke"
"1632","terbaik saran hot promo nya harganya dimurahkan lagi"
"1633","baik"
"1634","oke"
"1635","good"
"1636","bagus sekali"
"1637","pakai my telkomsel enak mudah dan cepat tinggal buka aplikasi saja sudah kelihatan berapa sisa kuota pulsa dll pokoknya instal my telkomsel wajib deh buruan banyak promo juga my telkomsel kasih promo yang murah ya guyss"
"1638","sangat membantu saya sebagai driver ojol"
"1639","mantap"
"1640","i love you telkomsel"
"1641","bagus sekali aplikasi ini"
"1642","sangat bagus"
"1643","lmyn bagus"
"1644","aplikasi ini sangat membantu"
"1645","banyak promo"
"1646","nyaman billahih"
"1647","memuaskan"
"1648",""""""
"1649","mantap"
"1650","sangat bagus aplikasinya"
"1651","ok juara lah telkomsel mah"
"1652","sangat memuaskan"
"1653","sangat membantu dengan aplikasi ini"
"1654","good"
"1655","alhamdulilahh"
"1656","the best"
"1657","terimakasih sangat membatu "
"1658","mntap aplikasinya sangat mmbantu"
"1659","telkomsel dari dulu sampai sekarang dan seterusnya tetap ok"
"1660","bagus"
"1661","merasa terbantu karena signalnya beda dari yang lain thanks telkomsel"
"1662","memuaskan"
"1663","baik"
"1664","hmmm bagus banget apk nya"
"1665","terimakasih"
"1666","ok"
"1667","saya senang"
"1668","bisa lancar dan lebih cepat proses transaksi"
"1669","sinyal nya jossssss"
"1670","mantap aplikasi ini luarbiasa beli pulsa dan paket data jadi murah"
"1671","baik sekali"
"1672","waaahuuuuuu bangatttttt"
"1673","mantab"
"1674","kenapa akhir akhir ini kulitas jaringan telkomsel memburuk ya buat main game ngelag mulu apalagi kalo ujann dulu mah aman aman lancarrr"
"1675","bagus"
"1676","aplikasinya bagus sangat berguna"
"1677","terbaik"
"1678",""""""
"1679","oke"
"1680","joss ada klam kuota gratis"
"1681","ok"
"1682","aplokasi nya bagus banget"
"1683","mantap"
"1684","irit banget"
"1685","baguus"
"1686","mudah untuk mencari imformasi paket data"
"1687","my telkomsel the best"
"1688",""""""
"1689",""""""
"1690","sangat bagus"
"1691","very good"
"1692","bagus"
"1693","pelayanan nya bagus"
"1694","ok mantap"
"1695","terimakasih my telkomsel"
"1696","penggunaan aplikasi lebih simple dan mudah"
"1697","bagus"
"1698","mempermudah akses untuk membeli paket internet ataupun pulsa"
"1699","aplikasi yang sangat membantu"
"1700","sangat baik di gunakan"
"1701","terimakasih my telkomsel "
"1702","beli disini dapat diskon"
"1703","bagus"
"1704","sangat bagus"
"1705","sangat membantu dan mudah di akses"
"1706","fix teknisi juga meminta di up date wkwk keamananl emah banget "
"1707","percaya my telkomsel adalah perusahaan yang baik dan aman sukses terus my telkomsel"
"1708","jos gandos pokoke telkomsel "
"1709","baik"
"1710",""""""
"1711","keren"
"1712","josst"
"1713","mantap"
"1714","bagusbange"
"1715","lancar jaya"
"1716","tingkatkan "
"1717","murahin lagi ya paketnya"
"1718","aku sangat bangga"
"1719","memudahkan transaksi bagi pengguna telkomsel the bast pokoknya "
"1720"," hatiku puas"
"1721","mytelkomsel mantap"
"1722","puas"
"1723","good"
"1724","good"
"1725","mntapp"
"1726","pribadi"
"1727","bagus sekali"
"1728","bagus"
"1729","jaringan sangat baguscuma kalo bisa harga paketnya lebih ekonomisaman di kantong begitu my telkomsel ku kelemahan my telkomsel apabila kuota habis sampai aplikasi my telkomsel tidak bisa diakses alias tidak gratisterpaksa harus mencari wifi tidak seperti provider yang laingratisss tolong dong saya kan penggunapelangganmasa harus dikenakan biaya hanya untuk membeli kouta tapi apk yang sekarang jadi berat kadang ada bug"
"1730","paketnya makin mahal saja"
"1731","bagus"
"1732","baru mencoba"
