"","x"
"180","tampilan aplikasi sudah ok tidak lemot lagi pas cek ini ada bonus kuota yang rajin cek ini aplikasi good job telkomsel saran saja paket data dimurahin lagi signal kencang dan kuat di semua tempat seluruh indonesia tercinta"
"181","bagus"
"182","checkin telkomsel hilang"
"183","mantap"
"184","bagus "
"185","bagus sekali"
"186","ok banget"
"187","sangat bagus"
"188","bagus"
"189","kenapa sekarang ini saya selalu keluar dari aplikasi secara tibatiba"
"190","mantap"
"191","telkomsel memuaskan"
"192","praktis dan mudah bagi pengguna nya"
"193","ok full"
"194","telkomsel paling oke"
"195","kalo perpnjng maksa aktip slallu ggal tapi cukup bagus apl ini"
"196","mantap"
"197","luar biasa jooos"
"198","puas"
"199","mantap pertahan kan pelayanan maksimal"
"200","bagus"
"201","jarang banget kecewa pakai telkomsel jadi sukses terus buat telkomsel "
"202","mantap"
"203","mantap"
"204","harap pelayanannya lebih ditingkatkan"
"205","oke"
"206","mantap"
"207","bagus"
"208","ok banget en keren"
"209","komunikasi terbaik"
"210","good"
"211","pliss dong jaringan telkomsel lagi ada disini diperbaikilah kumohon pliss"
"212","bagus"
"213","hbd ke terima kasih kuota gb nya"
"214","baqus"
"215","mantap"
"216","wokey"
"217","sangat membantu"
"218","good"
"219","barusan dapat gb"
"220","sangat membantu"
"221","ok"
"222","kuota nya murah"
"223","beri lah paket gratis bang plis"
"224","oke"
"225","mantap bos p"
"226","very good"
"227","mantul"
"228","good app"
"229","aplikasi nya sangat bagus dan haraga paket nya sangat murah"
"230","aplikasinya mantap sangat mudah penggunaannya untuk cek kuotapulsa dan banyak promonya"
"231","mantap"
"232","jamstggzvocer wifi gratis"
"233","sangat membantu pengguna telkomsel"
"234","telkomsel its the best "
"235","good"
"236","kasih gratisan lah pliss"
"237","my telkomsel cara mudah beli paket dan pulsa"
"238","aplikasi yang sangat bagus"
"239","good"
"240","bagus"
"241","tolong paket dipermurah lagikami umr ini"
"242","asyik beli kouta enggak ribet selalu tersedia"
"243","buruan download aplikasi my telkomsel bagus banget"
"244","bagus"
"245","sangat baik aplkasi nya bagus"
"246","amazing "
"247","mantaaal"
"248","top"
"249","terimakasih telkomsel telah memberikan pelayan yang baik terimakasih telkom sel"
"250","bagus"
"251","sangat baik"
"252","bagus"
"253","max up"
"254","keren"
"255","ok"
"256","sangat bermanfaat saya suka "
"257","luar biasa"
"258","sungguh baik skalibonusan tiap hari hingga puluhan gbthanks"
"259","semoga sukses selalu"
"260","karena murah"
"261","aplikasi nya bagus dan memuaskan"
"262","jaringan lelet"
"263","good"
"264","nice"
"265","kalau gue suka ajaklu enggak suka atau kurang suka sama apk nyabeli kartu lain ajaribet bangetgw pakai apk nya biasa saja enggak ada gangguan atau cacat sistemkalian saja yang kurang sabar"
"266","bang balas dong"
"267","keren"
"268","sangat membantu"
"269","jos bos ku"
"270","bagus banget"
"271","mangap"
"272","bagus"
"273","baik"
"274","bagus"
"275","mantap"
"276","the best"
"277","bagus sekali banyak hadiah"
"278","telkomsel sip"
"279","mantap"
"280","baik"
"281","jaya selalu"
"282","tolong jariganya diperbaiki lagi supaya orang yang didesa atau plosok bisa mengunakan kartu tekomsel"
"283","sinyal bagus banget"
"284","semoga lebih baik dari yang sebelumnya sukses selalu"
"285","alhamdulillah saja"
"286","anjayy"
"287","omg bikin lag game doang parah"
"288","keren semangat"
"289","tess"
"290","enggak bisa di dkre waja"
"291","thq"
"292","nice provider "
"293","oll the best"
"294","puas mantap"
"295","telkomsel bisa dinikmati dimanapun meskipun di pedalaman sangat puas dengan jaringannya"
"296","sangat bagus"
"297","good"
"298","good"
"299","paket mahal"
"300","sinyal jelas dan terang dimana saja"
"301","mantap"
"302","nice"
"303","telkolsel memang ok"
"304","sangat memuaskan"
"305","oke"
"306","terima kasih developer my telkomsel saya sebagai pengguna baru aplikasi ini sangat senang karena di berikan bonus kuota gratis bagi pengguna baru seperti saya ini jadi buat kalian yang belum download ayo cepatan download dijamin enggak bakalan rugi"
"307","bagusssss"
"308","good"
"309","aplikasi sangat bagus"
"310","good"
"311","sangat bagus"
"312",""""""
"313","selalu langganan telkomsel halo untuk keluarga bayarnya jadi satu rekening suami hahahahahaa "
"314","ok"
"315","ok lebih mudah"
"316","mantap"
"317","apk nya bagus tapi agak jelek juga"
"318","baik"
"319","bantu sinyal lebih di optimalkan lagi"
"320","menurut saya penguna aplikasi ini menurut saya aplikasi bagus lebih dari cukup untuk paketannya memang rada mahal tapi ya di bandingkan dengan paketan yang biasa malah lebih baik di apk ini menurut saya bagus pokoknya top mohon di baguskan apk ini supaya lebih bagus kedepanya saya sangat puas untuk apk sekarang"
"321","mantap telkomsel"
"322","walau pun paket nya mahal tapi tetap pakai telkomsel btw isin pulsa dong"
"323","mantap"
"324","tak kasih bintang tapi untuk saat ini telkomsel kok kayak begini kok sering gangguan terusgmn ini untuk kelanjutannya sebagai jaringan no "
"325","ygy"
"326","good"
"327","bagus dan mudah"
"328","mantap"
"329","sangat bagus"
"330","ok"
"331","ok"
"332","sangat membantu"
"333","bagus sekali"
"334","ok"
"335","membanyaki hadiah nya broo"
"336","mantap"
"337","praktis dan mudah"
"338","baik"
"339","easy using"
"340","mantap"
"341","mantap"
"342",""""""
"343","ok"
"344","bagus sekali"
"345","tq aplikasi yang sangat berguna"
"346","mantap"
"347","ada tukar pointa poin bisa tukar dengan berbagai macam hadiahada mobil motor hp dan pulsa serta voucer belanja mantap apa pun hadiahnya syukuri"
"348","kenapa ada bank bri ya"
"349",""""""
"350","mantap"
"351","apk sangat memuaskan tapi sayng harga kuotanya mahal banget"
"352","sangat bagussaya suka"
"353","bagus"
"354","kasih promo dong"
"355","sip"
"356",""""""
"357","sip lah apk nya mempermudah pengguna nya "
"358","aat syahrani terima kasih telkomsel"
"359","sangat membantu dan bermanfaat"
"360","telkomsel good"
"361","aplikasinya sangat memudahkan dalam segala hal"
"362","good"
"363","oke baik responsif"
"364","mantul"
"365","apk ini sangat membantu"
"366","sangat bagus sekali"
"367","apk nya bagus sinyanya yang perlu ditingkatkan lagi"
"368","bagus top"
"369","sangat bagus"
"370","bagus sekali"
"371","apk nya bagus memudah kak kita"
"372",""""""
"373","the you"
"374","kurang free"
"375","wowow keren"
"376","telkomsel memang yang terbaik"
"377","rekomendasi banget buat pengguna telkomsel"
"378","mantap"
"379","i like my telkomsel"
"380","sangat bagus"
"381","alhamdulillah selalu terbaik my telkomsel"
"382","fribadi saya telkomsel mantap trimksih "
"383","sangat bagusssss"
"384","benaran enggak ini telkomsel bagi hadiah"
"385","nomor cantikku dilarang double number"
"386","membantu banget"
"387","asik di mytelkomsel"
"388","mmantaf bos kalo memang benar ada hadiah nya"
"389","keereen"
"390","mytelkomsel good tapi undian hapy hapy itu benar apa enggak "
"391","aplikasi ini sangat membantu"
"392","lumayan"
"393","mntap"
"394","saya sudah mendownload aplnya meminta promo internet murah my telkomsel ku"
"395","beli kuota di sini lebih murah"
"396","bagus"
"397","okey"
"398","mantap sekali harga paket saktinya murah bangetgb cuma saja"
"399","mantap"
"400","keren"
"401","mantap"
"402","tollong di penuhi kah permintan orang"
"403","good"
"404","sangat baik"
"405","mantul bossd"
"406","bagus"
"407","ok"
"408","lebih nyaman"
"409","veryy god"
"410","akskakssksksksksksksksskskskskskskskskskskskskskskskskskkskskskskskskskskskskskskskskskksksksskkssksksksksksskskksksksksksksskskskskskskskskskskskskskskskskskskskskskskskskkskskkskskskskskkskskskskskskskskskskskskkskskskskskssksksskksksksksskkskskskskskskskskskskskskskskskksksksksskskskskskskskskskskkskskskskskskkskskskskkskskskskskkskskskskkskskskkskskksksksksksksksksksskskskksskksskksskksksksskkskskskskskskskskskskskskkskskskskskskskksksksksksksksksksksksksskkskskskskskskksksksksksksksksksksks"
"411","sangat murah"
"412","selalu tunjukkan tanda cintamu kepada pelanggan setiamu apalagi pelanggan yang sudah setia selama belasan tahun menggunakan telkomsel dengan cara selalu memberikan paket istimewa lebih istimewa daripada paket promo untuk pelanggan baru dengan begitu yakinlah kami akan tetap setia"
"413","sinyalnya ok banget dimana saja sampai di pelosok pun no prob"
"414","menakjubkan"
"415","my telkomsel semakin asyik dari waktu ke waktu"
"416","sangat bagus"
"417","the best"
"418","membantu saya dalam membeli data internet dan banyak promo ketika chek ini"
"419","harga mahal signal cacat"
"420","bagus"
"421","membantu"
"422","sangat bagus"
"423","oke"
"424","sangat sangat baik cobalah download now"
"425","akhirinikok telkomselpayah signalya"
"426","lumayan bagusdah selalu ada promo"
"427","mantap"
"428","sukses"
"429",""""""
"430","bagus"
"431","best lah"
"432","mantap"
"433","semoga lebih baik lagi"
"434","terimakasih karena banyak kuota gratis nya semoga telkom memberi seperti ini terus menerus"
"435","mantap"
"436","bagus"
"437","mantap"
"438","apk nya ok"
"439","yez"
"440","lancar jaya"
"441","bagus"
"442","sangat bagus"
"443","tks"
"444","sangat membantu"
"445","maraiman siregar siregar"
"446","cakep"
"447","paket mahal jaringan vipudah mahal lag pula emag telkom kayak bab"
"448","mudah sekali"
"449","mantap"
"450","tetap"
"451","bagus sangat membantu untuk pembelian pakai dan isi pulsa"
"452","ok"
"453","jelek banget tapi bohong "
"454","bagus"
"455","terima kasih"
"456","sip"
"457","capet"
"458","tidk murah kartu saya apa ini "
"459","sinyalsuka ngilangdi area citeureup pas muktisemoga bisa di tinfkatkan lebih baik go sukses"
"460","mantul"
"461","ayo spam bintang "
"462","telkomsel mantap"
"463","jelek"
"464","ok"
"465","bagus apk nya"
"466","sangat puas dengan apk ini"
"467","mantap"
"468","bagus"
"469","aplikasi my telkomsel sangat bagus"
"470","alkhmdulillah pakai my telkomsel lebih mudah"
"471","sangat dibutuhkan secara cepat"
"472","aplikasi nya bagus banget bisa bayar dengan via pulsadanagolay dan lainnya terima kasih terkomsel "
"473","bagus"
"474","mantap"
"475","aplikasi nya bagus bagat sekali beli langsung masuk pulsa nya"
"476","sangat membantu untuk beli pls dank kuota"
"477","tidak butuh kuota menonton anying tidak butuh hooq view babe"
"478","bagus"
"479","mantap"
"480","semenjak download aplikasi my telkomsel enggak pernah gonta ganti kartu jadi mudah ketika beli paketan"
"481","good"
"482","sipppp semoga sering ada promo"
"483","mantap signalnyacm harga paketnya juga mahal"
"484","sangat baik"
"485","baik sekali bestie"
"486","nantap"
"487","bagusbisa membantu"
"488","mantap"
"489","ok"
"490","oke sip"
"491","baru cobasemoga sinyal nya bagus"
"492","oke lah asik saja"
"493","mantap"
"494","lumayan lah"
"495","good"
"496","god job"
"497","baguuss"
"498","sangat bagus lah"
"499","jaringan telkomsel sekarang jelek banget parah jaringan nya tidak kencang seperti dulu katanya jaringan nomer di indonesia tapi nyata berlawanan"
"500","mantap "
"501","mantap"
"502","mantap"
"503","mantap"
"504","sangatt baik"
"505","sangat bermanfaat dan membantu siap sedia jam"
"506","baik mudah digunakan membantu"
"507","sangat membantu"
"508","ok"
"509","iya"
"510","saya suka"
"511","mantrraaaaap"
"512","mantap"
"513","this good"
"514","nice"
"515","good"
"516","oke"
"517","bagus"
"518","baik"
"519","bagus tapi agar beroperasi lancar minimum perangkat gb ram dan gb rom"
"520","mantap murah"
"521","my telkomsel is the best"
"522","kalau ada yang mudah kenapa harus ribeutt"
"523","yuk pakai kartu telkomsel"
"524","nice"
"525","bagus"
"526","sangat baik"
"527","sangat memuaskan"
"528","tampilan yang mudah digunakanbanyak promo menarik khususnya kuota sakti yang cukup terjangkau daily check ini nya cukup membantu pengguna ketika kuota hampir habis akhir bulan"
"529","bagus mohon kembangkan lagi apk nya"
"530","sip"
"531","keren"
"532","aplikasi enggak ngelek boleh lah promo nya"
"533","the best"
"534","oke"
"535","ku baru dua kali makai dan baik cuman kadang pembayaran saya belum ada aplikasi gopay dan ovo"
"536","terbaik"
"537",""""""
"538","kasih bonus nya hehe mantaf"
"539","ook"
"540","sangat bagus"
"541","bagus"
"542","mudahan peket internet banyak promo serta sinyal bisa lebih baik lagi"
"543","sangat memudahkan"
"544","mempermudah urusan"
"545","sangat membantu"
"546","luar biasa"
"547","suwon"
"548","cukup baik"
"549",""""""
"550","ada keluh kesah sedikit untuk beberapa waktu ini jaringan tidak stabil dan lemot"
"551","hadiahnya bikin happy"
"552","terima kasih"
"553","good"
"554","mantap"
"555","bagus banget"
"556","bagus banget"
"557","keren"
"558","baik"
"559","mantap"
"560","ok"
"561","bagus semoga ada banyak bonus data sms dan telpon yang bisa digunakan ketika data lokal habis"
"562","muldk brodi"
"563","bagus banget"
"564","ok"
"565","ok"
"566","akurat sangat"
"567","bagus"
"568","berbagai"
"569","kak"
"570","mantap aplikasinya"
"571","mantap bos"
"572","trimakasih"
"573","promonya membanyaki"
"574","ok"
"575","ok"
"576","telkomsel is the best"
"577","luar biasa"
"578","nice"
